DishID,DishName,DiningHallID
0,Chicken & Vegetable Lo Mein,1
1,JJ's Black Bean Chipotle Burger,1
2,JJ's Cheeseburger,1
3,JJ's Crinkle Fries,1
4,JJ's Eggs Any Way,1
5,JJ's French Toast,1
6,JJ's Fried Chicken Cutlet Sandwich,1
7,JJ's Fried Green Tomato Sliders,1
8,JJ's Grilled Chicken Sandwich,1
9,JJ's Grilled Vegetable Panini,1
10,JJ's Hot Chocolate French Toast,1
11,JJ's Macaroni & Cheese Quesadilla,1
12,JJ's Quesadilla,1
13,JJ's Smashed Chickpea Avocado Sandwich,1
14,JJ's Spicy Korean Beef Sandwich,1
15,Mozzarella Sticks,1
16,Bagel Schmear Bar,3
17,Biscuits & Sausage Gravy,3
19,Bruschetta Pizza,3
20,Cheese Pizza,3
21,Chicken Dumpling Soup,3
22,Chicken Salad,3
23,GF Mozzarella & Tomato Sandwich,3
24,GF Turkey & Cheese Sandwich,3
25,Ham & American Cheese Sandwich,3
26,Hashbrown,3
27,Italian Sandwich,3
28,Minestrone Soup,3
29,Mozzarella & Pesto Sandwich,3
30,Pancake & Waffle Syrup,3
31,Pepperoni Pizza,3
32,Pop Up Carving Station,3
33,Pork Sausage,3
34,Roasted Garlic Shrimp Pizza,3
35,Scrambled Egg,3
36,Tofu Scramble,3
37,Tomato & Cheddar Frittata,3
38,Tuna Salad,3
39,Turkey & Cheese Sandwich,3
40,Turkey Sausage,3
41,Waffles,3
42,Tandoori Chicken,2
43,John Jay Sushi Roll,2
44,Sweet & Sour Chickpeas,2
45,Seaweed Salad,2
46,Spicy Green Beans,2
47,John Jay's Buddha Bowl,2
48,Grilled Chicken,2
49,Sausage & Pepper Pasta,2
50,John Jay Chicken Tortilla Soup,2
51,Frostline Chocolate,2
52,Three Bean Chili Soup,2
53,Vegan Chicken Vindaloo,2
54,Roasted Potatoes,2
55,Burger Bun,2
56,Vegan Hot Dog,2
57,Marinara Sauce,2
