UserID,DishName,Rating
302,JJ's Grilled Vegetable Panini,2.5
240,Mozzarella Sticks,2.5
712,Mozzarella Sticks,0.5
800,Turkey Sausage,3.0
665,JJ's Quesadilla,2.5
56,Pancake & Waffle Syrup,3.5
540,Minestrone Soup,4.0
900,JJ's Macaroni & Cheese Quesadilla,1.0
868,JJ's Spicy Korean Beef Sandwich,0.5
132,JJ's Smashed Chickpea Avocado Sandwich,1.5
944,JJ's Hot Chocolate French Toast,3.0
783,JJ's Macaroni & Cheese Quesadilla,4.5
977,Tuna Salad,4.5
974,JJ's Black Bean Chipotle Burger,0.5
695,JJ's Grilled Vegetable Panini,0.0
781,Pop Up Carving Station,0.5
89,Hashbrown,0.0
929,Bruschetta Pizza,4.5
771,JJ's Black Bean Chipotle Burger,1.0
123,JJ's French Toast,2.5
222,Grilled Chicken,2.5
188,Pancake & Waffle Syrup,4.5
378,Seaweed Salad,0.0
626,Burger Bun,2.5
460,Ham & American Cheese Sandwich,4.0
49,Three Bean Chili Soup,0.0
409,Burger Bun,2.0
843,Tomato & Cheddar Frittata,0.5
296,Vegan Chicken Vindaloo,0.5
283,JJ's Hot Chocolate French Toast,2.5
456,JJ's French Toast,2.5
911,GF Turkey & Cheese Sandwich,2.5
410,Hashbrown,3.0
780,John Jay Sushi Roll,3.0
151,JJ's Grilled Chicken Sandwich,2.5
550,Pop Up Carving Station,1.0
511,Spicy Green Beans,1.5
783,Chicken Dumpling Soup,4.0
834,John Jay Chicken Tortilla Soup,4.5
51,Pancake & Waffle Syrup,4.0
660,Minestrone Soup,1.5
64,Grilled Chicken,1.0
996,Tomato & Cheddar Frittata,4.0
624,JJ's Macaroni & Cheese Quesadilla,4.5
270,JJ's French Toast,0.5
716,Vegan Hot Dog,0.5
103,Tofu Scramble,2.5
679,Seaweed Salad,0.5
164,JJ's Grilled Chicken Sandwich,3.0
99,Chicken & Vegetable Lo Mein,2.0
388,Bruschetta Pizza,4.0
208,JJ's Cheeseburger,1.5
710,Tuna Salad,3.0
433,John Jay Sushi Roll,1.0
164,Biscuits & Sausage Gravy,1.5
304,Grilled Chicken,2.0
155,Grilled Chicken,2.5
570,JJ's Cheeseburger,0.5
509,JJ's Macaroni & Cheese Quesadilla,3.0
610,Tuna Salad,4.5
621,Sausage & Pepper Pasta,2.0
229,JJ's Quesadilla,1.5
727,JJ's French Toast,1.0
751,Grilled Chicken,4.0
918,JJ's Grilled Vegetable Panini,2.0
849,Seaweed Salad,4.5
586,JJ's Fried Chicken Cutlet Sandwich,4.5
982,Vegan Chicken Vindaloo,2.5
968,Chicken Dumpling Soup,2.0
799,JJ's Spicy Korean Beef Sandwich,4.0
809,Tofu Scramble,4.0
382,Grilled Chicken,4.0
583,Vegan Hot Dog,3.5
128,Bagel Schmear Bar,3.5
349,Ham & American Cheese Sandwich,1.0
772,JJ's French Toast,3.5
732,Tandoori Chicken,1.5
798,JJ's Fried Chicken Cutlet Sandwich,3.0
58,Biscuits & Sausage Gravy,2.0
696,Roasted Garlic Shrimp Pizza,4.5
974,JJ's Macaroni & Cheese Quesadilla,1.0
582,Tandoori Chicken,2.5
52,Mozzarella Sticks,2.5
914,Vegan Hot Dog,3.0
902,John Jay Sushi Roll,0.0
124,Bagel Schmear Bar,1.0
301,Roasted Garlic Shrimp Pizza,0.0
744,Sausage & Pepper Pasta,3.0
720,Hashbrown,1.5
39,Tomato & Cheddar Frittata,1.5
775,Grilled Chicken,1.5
76,Seaweed Salad,2.5
746,Bagel Schmear Bar,4.0
154,Pop Up Carving Station,3.0
874,Tuna Salad,0.0
395,Seaweed Salad,1.5
568,Mozzarella & Pesto Sandwich,1.5
852,Marinara Sauce,4.0
339,JJ's Fried Green Tomato Sliders,4.0
381,JJ's Fried Chicken Cutlet Sandwich,4.0
402,JJ's Quesadilla,4.5
433,JJ's Fried Chicken Cutlet Sandwich,2.0
320,Tuna Salad,2.0
475,Mozzarella & Pesto Sandwich,2.5
869,Marinara Sauce,0.0
683,Vegan Hot Dog,2.5
512,Pepperoni Pizza,1.0
780,JJ's Fried Chicken Cutlet Sandwich,2.5
302,Marinara Sauce,3.0
152,JJ's Hot Chocolate French Toast,3.0
246,Tandoori Chicken,1.0
740,Vegan Hot Dog,4.5
684,Cheese Pizza,3.5
152,Cheese Pizza,2.5
383,Pepperoni Pizza,4.5
1,Sausage & Pepper Pasta,0.5
324,Scrambled Egg,4.5
755,Tomato & Cheddar Frittata,3.0
699,JJ's Cheeseburger,4.5
580,Minestrone Soup,3.5
161,Vegan Chicken Vindaloo,0.5
925,JJ's Quesadilla,3.5
300,John Jay Chicken Tortilla Soup,1.5
5,JJ's Grilled Chicken Sandwich,1.0
430,Scrambled Egg,3.0
982,GF Turkey & Cheese Sandwich,3.0
718,Marinara Sauce,2.5
76,Roasted Garlic Shrimp Pizza,3.5
921,Waffles,3.5
957,Grilled Chicken,1.0
28,Chicken Dumpling Soup,0.5
25,Spicy Green Beans,0.5
68,Cheese Pizza,4.5
256,Cheese Pizza,3.0
188,Tandoori Chicken,0.5
7,Grilled Chicken,2.5
553,Chicken Salad,4.5
965,Seaweed Salad,1.5
367,Frostline Chocolate,4.5
457,JJ's Fried Chicken Cutlet Sandwich,3.5
367,Seaweed Salad,2.0
141,Tuna Salad,0.5
574,Italian Sandwich,2.0
898,Mozzarella Sticks,0.5
